,4
0,5
1,2
2,2
3,7
4,5
5,5
6,3
7,4
8,1
9,4
10,3
11,2
12,1
13,5
14,6
15,3
16,6
17,2
18,5
19,2
20,2
21,1
22,6
23,3
24,4
25,0
26,4
27,0
28,2
29,4
30,5
31,4
32,1
33,4
34,4
35,4
36,2
37,3
38,1
39,6
40,6
41,1
42,3
43,2
44,3
45,4
46,2
47,5
48,4
49,6
50,4
51,2
52,1
53,2
54,1
55,0
56,0
57,7
58,1
59,0
60,0
61,2
62,6
63,7
64,7
65,4
66,3
67,7
68,1
69,4
70,0
71,3
72,3
73,5
74,4
75,1
76,5
77,0
78,7
79,2
80,2
81,3
82,3
83,4
84,5
85,0
86,6
87,4
88,4
89,7
90,4
91,0
92,6
93,3
94,6
95,1
96,6
97,2
98,0
99,3
100,6
101,0
102,3
103,3
104,4
105,5
106,0
107,7
108,0
109,6
110,6
111,6
112,2
113,0
114,4
115,2
116,1
117,1
118,7
119,7
120,4
121,3
122,2
123,2
124,0
125,6
126,4
127,0
128,6
129,6
130,7
131,1
132,7
133,7
134,3
135,4
136,7
137,3
138,2
139,5
140,2
141,1
142,7
143,4
144,5
145,2
146,2
147,7
148,5
149,4
150,3
151,5
152,0
153,2
154,1
155,0
156,2
157,0
158,6
159,1
160,3
161,1
162,0
163,7
164,5
165,3
166,6
167,2
168,1
169,0
170,3
171,2
172,1
173,1
174,1
175,7
176,0
177,2
178,4
179,0
180,0
181,1
182,7
183,6
184,4
185,2
186,7
187,5
188,3
189,4
190,6
191,3
192,2
193,4
194,2
195,0
196,1
197,6
198,6
199,0
200,6
201,2
202,5
203,4
204,3
205,4
206,0
207,4
208,2
209,2
210,5
211,3
212,1
213,2
214,0
215,0
216,6
217,0
218,2
219,5
220,7
221,4
222,4
223,4
224,2
225,0
226,3
227,4
228,0
229,2
230,3
231,5
232,5
233,1
234,5
235,6
236,5
237,0
238,5
239,2
240,6
241,2
242,5
243,1
244,4
245,4
246,0
247,7
248,4
249,1
250,6
251,2
252,3
253,7
254,1
255,6
256,3
257,7
258,0
259,7
260,4
261,2
262,0
263,6
264,0
265,6
266,3
267,1
268,6
269,1
270,7
271,4
272,2
273,6
274,0
275,6
276,7
277,0
278,7
279,1
280,7
281,4
282,3
283,6
284,4
285,5
286,5
287,6
288,0
289,7
290,0
291,3
292,0
293,5
294,4
295,0
296,3
297,0
298,3
299,7
300,1
301,3
302,1
303,4
304,4
305,3
306,3
307,0
308,0
309,3
310,3
311,5
312,4
313,7
314,5
315,1
316,4
317,7
318,2
319,3
320,2
321,6
322,6
323,0
324,0
325,2
326,7
327,2
328,3
329,1
330,3
331,2
332,0
333,3
334,5
335,5
336,5
337,5
338,1
339,5
340,3
341,3
342,4
343,2
344,1
345,2
346,3
347,4
348,7
349,6
350,2
351,5
352,5
353,0
354,3
355,7
356,7
357,2
358,5
359,7
360,2
361,0
362,3
363,2
364,0
365,3
366,7
367,3
368,7
369,4
370,6
371,2
372,2
373,7
374,6
375,7
376,7
377,3
378,0
379,4
380,6
381,5
382,7
383,1
384,6
385,2
386,2
387,6
388,2
389,2
390,7
391,4
392,6
393,3
394,0
395,7
396,0
397,0
398,2
399,0
400,5
401,0
402,2
403,0
404,4
405,5
406,7
407,4
408,6
409,5
410,1
411,6
412,1
413,4
414,3
415,6
416,0
417,1
418,2
419,0
420,0
421,0
422,0
423,6
424,0
425,5
426,3
427,1
428,3
429,3
430,0
431,3
432,5
433,5
434,4
435,4
436,0
437,7
438,3
439,2
440,0
441,1
442,1
443,6
444,6
445,1
446,0
447,7
448,2
449,7
450,1
451,1
452,2
453,5
454,7
455,4
456,0
457,5
458,7
459,5
460,7
461,0
462,4
463,7
464,0
465,6
466,5
467,6
468,5
469,3
470,3
471,6
472,0
473,0
474,2
475,7
476,1
477,3
478,4
479,2
480,3
481,6
482,4
483,2
484,3
485,3
486,6
487,3
488,0
489,3
490,7
491,6
492,6
493,1
494,4
495,0
496,0
497,1
498,7
499,6
500,6
501,7
502,0
503,2
504,1
505,0
506,4
507,6
508,6
509,1
510,6
511,4
512,3
513,2
